rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,p < 0.05:,up,down
1600010M07Rik,2.10E-23,0.448068431,0.476,0.299,6.77E-19,1.364212542,,,,
Nckap5,2.58E-23,0.446892654,0.815,0.743,8.32E-19,1.36310118,,,,
Csrp1,5.44E-21,0.445163441,0.368,0.22,1.75E-16,1.361468347,,,,
Samd4,1.97E-11,0.444483005,0.244,0.155,6.35E-07,1.360826372,,,,
Rgs6,2.41E-22,0.444456443,0.818,0.723,7.77E-18,1.360801317,,,,
Mcc,5.16E-08,0.44161024,0.232,0.167,0.00166511,1.358119325,,,,
Rgs2,5.13E-19,0.440786059,0.222,0.11,1.65E-14,1.357343681,,,,
Per1,2.68E-28,0.421037757,0.383,0.22,8.64E-24,1.338890297,,,,
Myo1e,2.49E-18,0.420501054,0.677,0.555,8.03E-14,1.338392304,,,,
Gm26542,7.15E-15,0.417033381,0.664,0.554,2.31E-10,1.335179196,,,,
Arhgef38,1.73E-11,0.40646596,0.504,0.412,5.58E-07,1.325435035,,,,
Xkr4,1.56E-10,0.406457118,0.127,0.063,5.04E-06,1.325426912,,,,
Usp2,2.61E-14,0.404010325,0.67,0.571,8.41E-10,1.32318091,,,,
Jun,3.95E-24,0.401864564,0.224,0.097,1.27E-19,1.321214368,,,,
Gm48678,6.27E-12,0.398927553,0.541,0.433,2.02E-07,1.318527401,,,,
Phldb2,2.19E-24,0.396069837,0.965,0.949,7.06E-20,1.315918224,,,,
Gm35188,2.70E-12,0.39393785,0.809,0.76,8.70E-08,1.313975021,,,,
Fli1,9.00E-10,0.391566102,0.48,0.392,2.91E-05,1.311816659,,,,
Gem,7.12E-12,0.389617935,0.185,0.103,2.30E-07,1.310046422,,,,
Ostf1,4.70E-13,0.379939131,0.487,0.388,1.52E-08,1.301286952,,,,
Ddr1,4.35E-14,0.377719856,0.473,0.345,1.40E-09,1.299286741,,,,
Ltc4s,6.62E-14,0.376620442,0.207,0.112,2.13E-09,1.29829699,,,,
Sgcd,1.06E-07,0.376198076,0.279,0.205,0.003415354,1.297916953,,,,
Osbpl6,7.84E-09,0.374896333,0.79,0.752,0.000252821,1.296746371,,,,
Piezo1,2.04E-11,0.373615013,0.481,0.369,6.57E-07,1.295595186,,,,
Irs2,5.43E-13,0.370386304,0.37,0.258,1.75E-08,1.292698924,,,,
Slco3a1,3.68E-11,0.366501889,0.825,0.778,1.19E-06,1.289223051,,,,
Mdfic,3.82E-08,0.366052554,0.28,0.212,0.001232351,1.288821578,,,,
Pde7b,2.57E-10,0.36528871,0.873,0.842,8.30E-06,1.288139384,,,,
Per2,1.20E-13,0.364130818,0.328,0.222,3.89E-09,1.287105952,,,,
Fnbp1l,3.51E-12,0.364009088,0.73,0.659,1.13E-07,1.286997354,,,,
Net1,3.62E-15,0.363544582,0.241,0.142,1.17E-10,1.286583045,,,,
Gpm6b,5.94E-08,0.358170348,0.26,0.187,0.00191492,1.281799266,,,,
Eps8l2,4.18E-09,0.344073946,0.592,0.511,0.0001349,1.269335944,,,,
Slc3a2,4.39E-23,0.343059346,0.287,0.145,1.42E-18,1.268443576,,,,
Klf6,9.33E-12,0.335103536,0.252,0.162,3.01E-07,1.261467936,,,,
Dock8,9.47E-13,0.335000866,0.814,0.785,3.06E-08,1.261378166,,,,
4930486I03Rik,1.23E-11,0.332349169,0.598,0.496,3.98E-07,1.259061862,,,,
Myof,3.28E-08,0.331612798,0.242,0.171,0.001057972,1.258419384,,,,
Aco2,1.59E-09,0.331124528,0.726,0.661,5.12E-05,1.257993552,,,,
Wee1,6.90E-14,0.330939817,0.299,0.186,2.23E-09,1.257832499,,,,
Gm15614,2.98E-12,0.329100851,0.317,0.212,9.63E-08,1.256230194,,,,
P2ry14,3.25E-08,0.327452139,0.248,0.173,0.001049931,1.254795394,,,,
Mapkapk3,3.34E-11,0.322570313,0.388,0.283,1.08E-06,1.250556563,,,,
3110021N24Rik,2.56E-09,0.321689181,0.33,0.24,8.26E-05,1.249793014,,,,
Sorbs2os,7.09E-11,0.321081044,0.341,0.238,2.29E-06,1.249266302,,,,
Stk40,8.79E-14,0.321070488,0.363,0.247,2.83E-09,1.249257161,,,,
Ap2b1,1.08E-12,0.318974298,0.629,0.538,3.47E-08,1.247443348,,,,
Cry2,4.14E-17,0.317097793,0.241,0.13,1.34E-12,1.24582186,,,,
Aebp2,5.59E-09,0.317052419,0.451,0.365,0.000180309,1.245782679,,,,
Adgrg3,7.39E-07,0.314955034,0.217,0.155,0.023859192,1.24397288,,,,
Hadha,1.80E-09,0.314578953,0.493,0.384,5.81E-05,1.243648645,,,,
Lats2,3.58E-12,0.313577227,0.319,0.227,1.15E-07,1.242785425,,,,
Crem,2.46E-11,0.313497351,0.447,0.342,7.95E-07,1.242716619,,,,
Hdac4,3.35E-10,0.310503066,0.454,0.369,1.08E-05,1.24014006,,,,
Gm33543,2.87E-13,0.308715633,0.139,0.063,9.27E-09,1.238604534,,,,
Agrp,2.07E-14,0.307289867,0.341,0.219,6.66E-10,1.237381069,,,,
Ttc39b,4.81E-08,0.306247788,0.466,0.383,0.001550672,1.236487614,,,,
Maml3,3.20E-12,0.30606724,0.891,0.842,1.03E-07,1.236332881,,,,
Lnx1,8.02E-12,0.305595712,0.793,0.726,2.59E-07,1.235928867,,,,
Gm12216,4.57E-07,0.304838219,0.21,0.148,0.014741064,1.235280107,,,,
Cs,1.14E-10,0.303429817,0.392,0.297,3.67E-06,1.234074779,,,,
Mecomos,2.23E-09,0.298917724,0.303,0.212,7.20E-05,1.230221184,,,,
Gm20275,1.89E-11,0.298740772,0.393,0.282,6.09E-07,1.230070302,,,,
Gpc3,5.32E-07,0.297440057,0.19,0.13,0.017151628,1.228961787,,,,
Rbms2,5.24E-11,0.296361288,0.322,0.222,1.69E-06,1.228043179,,,,
Pvr,7.82E-15,0.295576555,0.182,0.09,2.52E-10,1.227375384,,,,
Tfrc,4.51E-08,0.291201485,0.373,0.289,0.001456538,1.223658924,,,,
Actn4,5.59E-10,0.289062334,0.688,0.601,1.80E-05,1.221845893,,,,
Ell,2.07E-11,0.288765337,0.257,0.166,6.68E-07,1.221594386,,,,
Mef2d,9.90E-13,0.288232735,0.547,0.421,3.19E-08,1.221143492,,,,
Desi2,3.61E-09,0.287223783,0.633,0.557,0.000116449,1.220289781,,,,
Sema5a,9.69E-07,0.286627232,0.749,0.72,0.031273978,1.219785298,,,,
Prdx4,1.63E-13,0.285601923,0.138,0.063,5.26E-09,1.218918716,,,,
Gm47167,1.30E-11,0.284898454,0.329,0.221,4.19E-07,1.218324507,,,,
Emd,1.29E-12,0.284744256,0.155,0.077,4.17E-08,1.218194297,,,,
5930430L01Rik,4.81E-10,0.284521463,0.203,0.123,1.55E-05,1.218006188,,,,
Gm26749,1.08E-12,0.284401865,0.299,0.193,3.49E-08,1.217905221,,,,
Pkp2,1.90E-08,0.283967446,0.315,0.228,0.00061386,1.217538545,,,,
5330438D12Rik,2.11E-08,0.283905491,0.546,0.465,0.000680062,1.21748626,,,,
Gm37229,8.51E-14,0.280528216,0.159,0.076,2.75E-09,1.21463952,,,,
Notch3,3.47E-11,0.280454968,0.124,0.06,1.12E-06,1.214577853,,,,
Kank1,1.14E-08,0.279768688,0.811,0.777,0.000366509,1.214000224,,,,
Gm15640,1.80E-10,0.279562244,0.378,0.265,5.81E-06,1.213826518,,,,
Relb,2.30E-11,0.279065804,0.132,0.064,7.40E-07,1.213408905,,,,
Gm26532,5.92E-19,0.277925383,0.176,0.075,1.91E-14,1.212450109,,,,
Atg16l2,3.07E-10,0.277396816,0.412,0.307,9.91E-06,1.212005979,,,,
Cystm1,2.97E-10,0.277036869,0.591,0.491,9.59E-06,1.211703626,,,,
Mpc1,3.86E-09,0.275759015,0.789,0.728,0.000124445,1.210630845,,,,
Tbc1d9,2.78E-09,0.27426258,0.166,0.099,8.96E-05,1.20937577,,,,
Sik3,9.54E-11,0.272771509,0.898,0.901,3.08E-06,1.208126487,,,,
Dync1i2,8.10E-10,0.27265775,0.689,0.618,2.61E-05,1.208031229,,,,
Irf2bp2,2.97E-10,0.272442402,0.274,0.186,9.59E-06,1.207850922,,,,
Trpm7,1.95E-13,0.270760746,0.974,0.964,6.28E-09,1.206443829,,,,
Mecom,1.72E-26,0.270189248,0.999,0.999,5.56E-22,1.205966012,,,,
Gm36388,6.54E-07,0.268767008,0.386,0.309,0.021085849,1.204777731,,,,
Map3k3,1.61E-08,0.268355657,0.589,0.507,0.000519206,1.204434265,,,,
Mfsd4a,2.92E-10,0.266818584,0.553,0.437,9.42E-06,1.203151722,,,,
Gys1,4.00E-07,0.26494632,0.542,0.457,0.012895602,1.20159134,,,,
Tmed5,4.93E-08,0.264859695,0.254,0.182,0.001589946,1.201519194,,,,
Srpk2,9.93E-09,0.257275091,0.669,0.586,0.000320329,1.195219086,,,,
Tln2,1.28E-07,0.256112164,0.76,0.704,0.004119681,1.194256032,,,,
4930506C21Rik,3.32E-10,0.255720105,0.216,0.133,1.07E-05,1.193931532,,,,
Smim13,1.17E-10,0.25337123,0.196,0.116,3.76E-06,1.191989254,,,,
Hoxd3os1,6.46E-09,0.253265562,0.437,0.337,0.000208303,1.191901952,,,,
Cdip1,8.62E-09,0.253112352,0.489,0.392,0.000278244,1.191775382,,,,
Arhgef18,5.30E-08,0.253053732,0.653,0.593,0.001709415,1.191726959,,,,
St13,6.67E-10,-0.250155646,0.263,0.35,2.15E-05,-1.18933542,,,,
Il15,2.01E-07,-0.251112618,0.225,0.295,0.006494238,-1.190124595,,,,
Tle4,1.20E-44,-0.251588001,0.016,0.138,3.88E-40,-1.190516818,,,,
Por,2.64E-14,-0.251818071,0.154,0.258,8.52E-10,-1.190706688,,,,
Inpp4b,1.10E-19,-0.252425415,0.097,0.206,3.55E-15,-1.191208055,,,,
Trpm6,1.84E-15,-0.253218141,0.825,0.899,5.93E-11,-1.191862775,,,,
Hsp90aa1,9.15E-10,-0.254274315,0.342,0.429,2.95E-05,-1.192735638,,,,
Eif4g2,9.76E-13,-0.254295982,0.315,0.434,3.15E-08,-1.192753552,,,,
Zfand3,1.09E-07,-0.254334459,0.635,0.719,0.00351692,-1.192785363,,,,
Flt1,6.75E-50,-0.254703315,0.015,0.15,2.18E-45,-1.193090363,,,,
Gclm,5.76E-43,-0.254880584,0.041,0.186,1.86E-38,-1.193236972,,,,
Arglu1,1.80E-15,-0.255499937,0.248,0.375,5.79E-11,-1.193749341,,,,
2210408F21Rik,1.18E-12,-0.258195776,0.447,0.555,3.80E-08,-1.195982082,,,,
Rfx3,2.39E-09,-0.258297462,0.491,0.581,7.72E-05,-1.196066382,,,,
Pth1r,4.75E-36,-0.258410698,0.013,0.112,1.53E-31,-1.196160264,,,,
Slc12a2,8.27E-21,-0.259099303,0.047,0.135,2.67E-16,-1.196731333,,,,
Naca,1.03E-37,-0.261077783,0.01,0.11,3.32E-33,-1.19837363,,,,
Trpc1,2.56E-33,-0.261298145,0.023,0.128,8.24E-29,-1.198556688,,,,
Lgmn,2.67E-42,-0.261671879,0.045,0.193,8.62E-38,-1.198867217,,,,
Npm1,1.87E-12,-0.261980477,0.176,0.268,6.03E-08,-1.199123687,,,,
Cd36,4.75E-51,-0.26234552,0,0.112,1.53E-46,-1.199427137,,,,
Tbc1d5,5.52E-13,-0.262430071,0.679,0.778,1.78E-08,-1.199497434,,,,
Dpyd,5.53E-11,-0.263376503,0.55,0.663,1.78E-06,-1.200284582,,,,
Arl6ip1,3.40E-17,-0.263894015,0.234,0.359,1.10E-12,-1.200715216,,,,
Acaca,3.14E-09,-0.264360343,0.211,0.292,0.000101315,-1.20110339,,,,
Psap,1.33E-36,-0.265036882,0.063,0.21,4.30E-32,-1.20166677,,,,
Bphl,9.07E-36,-0.265145662,0.041,0.168,2.93E-31,-1.201757379,,,,
Bckdhb,9.29E-14,-0.265964873,0.703,0.785,3.00E-09,-1.202439972,,,,
Mettl7a1,8.91E-55,-0.266597464,0.006,0.137,2.87E-50,-1.202967331,,,,
Mbnl1,9.19E-09,-0.266917195,0.598,0.67,0.000296419,-1.203233963,,,,
Gpcpd1,2.48E-07,-0.267781067,0.408,0.474,0.008016382,-1.203954664,,,,
Atp5b,4.94E-11,-0.267890582,0.198,0.295,1.59E-06,-1.20404606,,,,
Npnt,1.88E-14,-0.268431921,0.235,0.343,6.07E-10,-1.204497936,,,,
Cth,4.28E-51,-0.268832352,0.015,0.15,1.38E-46,-1.2048323,,,,
Sdc2,2.51E-26,-0.269807543,0.086,0.213,8.09E-22,-1.205646983,,,,
Syt17,7.18E-11,-0.270008421,0.509,0.591,2.32E-06,-1.205814866,,,,
Steap2,6.85E-36,-0.270457061,0.045,0.175,2.21E-31,-1.206189901,,,,
Ahnak,1.41E-34,-0.270503474,0.061,0.195,4.54E-30,-1.206228706,,,,
Vps13c,8.92E-08,-0.271400201,0.357,0.425,0.002877954,-1.206978687,,,,
Kalrn,2.04E-11,-0.272278251,0.614,0.686,6.60E-07,-1.207713499,,,,
Skap2,2.81E-11,-0.272724807,0.546,0.622,9.08E-07,-1.20808738,,,,
Xpo1,5.08E-07,-0.2733389,0.404,0.457,0.016387319,-1.20860172,,,,
Cacnb2,6.30E-39,-0.273509566,0.014,0.122,2.03E-34,-1.208744702,,,,
Hnrnpk,1.59E-28,-0.274126909,0.147,0.3,5.13E-24,-1.209262046,,,,
Retreg1,4.92E-12,-0.274670512,0.571,0.669,1.59E-07,-1.209717778,,,,
Snx5,6.32E-22,-0.27481192,0.12,0.237,2.04E-17,-1.209836356,,,,
Ralgapa2,1.57E-13,-0.274849264,0.42,0.521,5.07E-09,-1.209867673,,,,
Emx1,5.20E-11,-0.275072954,0.473,0.561,1.68E-06,-1.210055278,,,,
Mga,3.47E-08,-0.275552487,0.392,0.462,0.001120212,-1.210457551,,,,
Hnrnpd,1.31E-11,-0.277023495,0.271,0.362,4.22E-07,-1.211692393,,,,
Rbpms2,4.65E-12,-0.277049317,0.196,0.287,1.50E-07,-1.211714081,,,,
Chd3,7.59E-47,-0.277141097,0.024,0.161,2.45E-42,-1.211791169,,,,
Pdia3,1.77E-12,-0.278256505,0.235,0.329,5.72E-08,-1.212728418,,,,
Folh1,2.56E-66,-0.27851254,0,0.145,8.25E-62,-1.21294366,,,,
Exoc6,4.71E-11,-0.279102977,0.42,0.518,1.52E-06,-1.21344017,,,,
Hpn,1.68E-34,-0.279389429,0.122,0.29,5.41E-30,-1.213681127,,,,
Hsph1,6.50E-63,-0.280388963,0.003,0.146,2.10E-58,-1.214522286,,,,
Man1a,6.65E-46,-0.281100364,0.004,0.113,2.15E-41,-1.215121321,,,,
Fndc3a,6.99E-09,-0.282052279,0.489,0.562,0.000225458,-1.215923344,,,,
Trip12,1.15E-14,-0.282565304,0.741,0.834,3.72E-10,-1.216355805,,,,
Atp5j,3.65E-57,-0.283103018,0,0.125,1.18E-52,-1.216809244,,,,
Selenop,1.55E-54,-0.28346756,0,0.12,5.01E-50,-1.217116748,,,,
Acaa2,8.25E-68,-0.28703271,0,0.148,2.66E-63,-1.220128174,,,,
Cpeb2,4.86E-13,-0.2875227,0.437,0.55,1.57E-08,-1.220542643,,,,
Col4a1,1.04E-58,-0.288112114,0.012,0.161,3.34E-54,-1.221041398,,,,
Cdcp1,2.92E-37,-0.290755353,0.032,0.153,9.43E-33,-1.223280584,,,,
D630024D03Rik,8.06E-09,-0.291541265,0.325,0.407,0.00026013,-1.223947151,,,,
Bcar3,7.89E-10,-0.291989452,0.371,0.456,2.55E-05,-1.224327441,,,,
Pikfyve,1.50E-10,-0.293094207,0.331,0.417,4.84E-06,-1.225265338,,,,
Immp2l,2.34E-32,-0.295668178,0.302,0.535,7.53E-28,-1.227453335,,,,
Kcnj1,5.37E-13,-0.296529696,0.681,0.741,1.73E-08,-1.228186539,,,,
Pclo,8.81E-09,-0.296996736,0.433,0.514,0.000284339,-1.2285842,,,,
Calm1,4.35E-28,-0.297240801,0.108,0.245,1.40E-23,-1.228792062,,,,
Mcu,5.50E-07,-0.297931779,0.28,0.337,0.017730891,-1.229380732,,,,
Dhrs3,1.22E-46,-0.298865249,0.034,0.181,3.94E-42,-1.230176438,,,,
Ybx1,1.07E-12,-0.299040129,0.37,0.477,3.46E-08,-1.230325566,,,,
Tmbim4,2.13E-56,-0.299758042,0.022,0.178,6.87E-52,-1.230937952,,,,
Rufy3,5.30E-16,-0.299780255,0.221,0.343,1.71E-11,-1.230956906,,,,
Rpl23a,8.64E-53,-0.30119106,0,0.116,2.79E-48,-1.232161241,,,,
Rps18,8.64E-53,-0.30232252,0,0.116,2.79E-48,-1.233127965,,,,
Rbpms,7.88E-25,-0.302588652,0.362,0.55,2.54E-20,-1.233355459,,,,
Rpl12,1.97E-44,-0.302780965,0.001,0.101,6.37E-40,-1.233519878,,,,
Gm32569,1.32E-11,-0.302873548,0.477,0.571,4.27E-07,-1.233599041,,,,
Cemip2,4.88E-10,-0.304264565,0.349,0.427,1.58E-05,-1.234789025,,,,
Selenbp1,3.16E-35,-0.305849601,0.067,0.21,1.02E-30,-1.236146387,,,,
Impact,2.70E-22,-0.306745178,0.139,0.264,8.71E-18,-1.236913984,,,,
Arsb,4.53E-26,-0.306998587,0.085,0.209,1.46E-21,-1.237131267,,,,
Aass,1.94E-46,-0.307386878,0,0.102,6.26E-42,-1.237464277,,,,
Wfdc15b,6.41E-23,-0.30838695,0.114,0.238,2.07E-18,-1.238322381,,,,
Wwp1,7.06E-12,-0.308463197,0.555,0.651,2.28E-07,-1.238387829,,,,
Gm20732,9.16E-14,-0.309265417,0.639,0.723,2.96E-09,-1.239076633,,,,
Hacd2,1.78E-15,-0.310482334,0.26,0.375,5.75E-11,-1.240122239,,,,
Prpf38b,3.06E-15,-0.31078757,0.278,0.385,9.86E-11,-1.240384643,,,,
Slc22a5,3.28E-42,-0.311572854,0.101,0.283,1.06E-37,-1.24105999,,,,
Dock2,1.42E-49,-0.312797134,0.007,0.128,4.59E-45,-1.242113609,,,,
Phyhipl,2.76E-48,-0.312846206,0.008,0.129,8.92E-44,-1.242155859,,,,
Tsc22d1,3.53E-21,-0.313901879,0.95,0.975,1.14E-16,-1.243065122,,,,
Slc2a9,8.39E-08,-0.314227025,0.163,0.238,0.002707534,-1.243345308,,,,
Lpl,4.19E-41,-0.315722801,0.043,0.183,1.35E-36,-1.244635069,,,,
Ptprk,2.98E-14,-0.316305048,0.588,0.713,9.61E-10,-1.245137484,,,,
Lactb2,4.83E-58,-0.316414661,0,0.127,1.56E-53,-1.24523209,,,,
Rps3a1,1.41E-56,-0.317304522,0,0.124,4.54E-52,-1.246000392,,,,
Mpv17l,3.69E-44,-0.318870177,0.036,0.177,1.19E-39,-1.247353322,,,,
Acadm,5.27E-23,-0.319694162,0.194,0.34,1.70E-18,-1.248065942,,,,
Klf15,4.20E-51,-0.319698518,0.022,0.165,1.35E-46,-1.248069711,,,,
Tbc1d14,1.13E-16,-0.319745812,0.504,0.606,3.65E-12,-1.248110626,,,,
Ppm1k,2.25E-15,-0.320001757,0.124,0.215,7.27E-11,-1.248332069,,,,
Epb41l5,5.84E-16,-0.322253206,0.415,0.538,1.89E-11,-1.250281719,,,,
Rps28,1.94E-46,-0.324133677,0,0.102,6.26E-42,-1.251912453,,,,
Agps,1.04E-20,-0.327213609,0.263,0.412,3.35E-16,-1.254587948,,,,
Nek7,2.40E-15,-0.328156837,0.379,0.494,7.75E-11,-1.255408461,,,,
Atp6v0b,6.67E-19,-0.328397528,0.399,0.532,2.15E-14,-1.255617924,,,,
Ddah1,1.45E-27,-0.328785919,0.136,0.288,4.68E-23,-1.255955996,,,,
Akr1a1,2.15E-60,-0.32882933,0,0.132,6.93E-56,-1.255993789,,,,
Pik3r1,6.37E-18,-0.329477716,0.294,0.427,2.06E-13,-1.256558393,,,,
Hsp90b1,1.31E-15,-0.329626482,0.3,0.418,4.23E-11,-1.256687972,,,,
Lamp1,1.62E-33,-0.329995759,0.118,0.281,5.23E-29,-1.25700968,,,,
Acss2,5.27E-65,-0.330051559,0.001,0.143,1.70E-60,-1.257058299,,,,
Cpeb4,2.19E-13,-0.33027754,0.589,0.689,7.07E-09,-1.257255217,,,,
Slc35g1,1.71E-12,-0.333785724,0.209,0.306,5.50E-08,-1.26031619,,,,
Uqcrh,4.19E-36,-0.334951742,0.043,0.171,1.35E-31,-1.261335216,,,,
Ivns1abp,3.15E-13,-0.334953031,0.58,0.688,1.02E-08,-1.261336343,,,,
Hmgcs1,3.96E-37,-0.335156372,0.108,0.28,1.28E-32,-1.261514136,,,,
Lhx1,3.86E-12,-0.336731126,0.473,0.569,1.25E-07,-1.262891875,,,,
Rassf6,2.60E-12,-0.337856824,0.272,0.367,8.39E-08,-1.263877663,,,,
Sall1,3.23E-30,-0.338970536,0.073,0.198,1.04E-25,-1.26485371,,,,
Far1,3.55E-13,-0.339571119,0.229,0.328,1.14E-08,-1.265380369,,,,
Gm47283,1.12E-52,-0.340916161,0.069,0.262,3.63E-48,-1.266560649,,,,
Chd9,4.40E-21,-0.34114424,0.58,0.707,1.42E-16,-1.266760898,,,,
Pbld1,4.16E-28,-0.341452873,0.097,0.229,1.34E-23,-1.267031922,,,,
Cox7c,1.06E-18,-0.343175902,0.265,0.402,3.41E-14,-1.268546059,,,,
Idh1,8.92E-66,-0.344022023,0.007,0.163,2.88E-61,-1.269290262,,,,
Ptprc,7.67E-52,-0.344231027,0.006,0.13,2.47E-47,-1.269474158,,,,
Rpl6,2.21E-29,-0.34491727,0.098,0.238,7.13E-25,-1.270078149,,,,
Mfhas1,4.50E-42,-0.346399469,0.045,0.188,1.45E-37,-1.271383675,,,,
Kifc3,8.69E-29,-0.347952201,0.207,0.372,2.80E-24,-1.272752766,,,,
Ppia,6.77E-42,-0.350424363,0.051,0.2,2.18E-37,-1.27493559,,,,
Myo6,1.62E-21,-0.351479012,0.629,0.781,5.23E-17,-1.275867942,,,,
Pvalb,3.16E-08,-0.352704576,0.097,0.15,0.00101864,-1.276952248,,,,
Cnnm2,3.56E-16,-0.352731642,0.756,0.812,1.15E-11,-1.276976204,,,,
Sgms2,3.17E-22,-0.352783058,0.873,0.93,1.02E-17,-1.277021716,,,,
Jarid2,2.19E-21,-0.353440086,0.77,0.87,7.07E-17,-1.277603425,,,,
Prkg1,9.73E-79,-0.353671771,0.005,0.185,3.14E-74,-1.277808614,,,,
Abcd3,2.45E-26,-0.35379255,0.378,0.561,7.92E-22,-1.277915594,,,,
Hibadh,2.77E-16,-0.356609921,0.46,0.58,8.94E-12,-1.280413614,,,,
Atp6v1b2,5.27E-25,-0.357003877,0.191,0.337,1.70E-20,-1.280763303,,,,
Ptms,4.80E-74,-0.357145428,0.003,0.168,1.55E-69,-1.280888972,,,,
Hlf,2.84E-62,-0.359472496,0.011,0.166,9.17E-58,-1.282956714,,,,
Papss1,8.23E-13,-0.360063266,0.437,0.53,2.65E-08,-1.283482181,,,,
Slc43a2,1.86E-14,-0.360724549,0.395,0.496,6.01E-10,-1.28407062,,,,
Sgk2,1.54E-24,-0.361683252,0.269,0.422,4.97E-20,-1.284924197,,,,
Adgrl4,8.80E-70,-0.362492811,0.014,0.187,2.84E-65,-1.285645427,,,,
Tfcp2l1,5.95E-22,-0.363649102,0.758,0.872,1.92E-17,-1.286676259,,,,
Vegfa,2.41E-28,-0.36577476,0.198,0.368,7.77E-24,-1.288573437,,,,
Rreb1,1.55E-27,-0.367476472,0.271,0.448,5.01E-23,-1.290094254,,,,
Mir99ahg,7.30E-21,-0.36858287,0.564,0.711,2.36E-16,-1.291084002,,,,
4931406C07Rik,4.10E-81,-0.368688032,0,0.175,1.32E-76,-1.291178116,,,,
Srsf6,4.82E-50,-0.369247961,0.05,0.218,1.55E-45,-1.291679337,,,,
Dnajc13,1.91E-19,-0.369512096,0.375,0.498,6.18E-15,-1.291915844,,,,
Pde4d,3.89E-32,-0.369662208,0.516,0.735,1.25E-27,-1.292050275,,,,
Sdc4,2.95E-15,-0.36997104,0.337,0.444,9.51E-11,-1.292326889,,,,
Frmpd4,9.67E-47,-0.371538294,0.019,0.153,3.12E-42,-1.293731555,,,,
Meis2,1.46E-77,-0.372815307,0.005,0.181,4.70E-73,-1.294877219,,,,
Evi5,3.00E-22,-0.373006469,0.396,0.55,9.66E-18,-1.295048806,,,,
Chdh,4.65E-55,-0.375199885,0.068,0.26,1.50E-50,-1.297019244,,,,
Cox4i1,1.55E-54,-0.382990288,0,0.12,5.01E-50,-1.304041956,,,,
Colgalt2,8.32E-19,-0.384610516,0.174,0.298,2.68E-14,-1.305507292,,,,
