rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,p < 0.05:,up,down
Adh1,4.51E-10,-0.272073066,0.016,0.125,1.46E-05,-1.207541746,,,,
Uap1,4.65E-11,-0.273257919,0.023,0.147,1.50E-06,-1.208533881,,,,
Gm47283,8.11E-07,-0.274860509,0.112,0.245,0.026165267,-1.209877103,,,,
Glb1l2,1.84E-10,-0.276637512,0.039,0.173,5.92E-06,-1.211368257,,,,
Mylk,2.31E-07,-0.27866257,0.121,0.267,0.007446741,-1.213069804,,,,
Syn3,4.89E-08,-0.279178986,0.356,0.526,0.001577921,-1.213504103,,,,
Nceh1,4.44E-14,-0.280329926,0,0.123,1.43E-09,-1.214472587,,,,
Sgk2,1.48E-06,-0.282102649,0.053,0.151,0.047851247,-1.215965797,,,,
Mapk14,4.68E-11,-0.282109977,0.142,0.344,1.51E-06,-1.215971973,,,,
Gnai1,7.74E-07,-0.283770768,0.132,0.272,0.024964907,-1.217372573,,,,
Arhgap26,5.66E-12,-0.284250782,0.039,0.188,1.83E-07,-1.217777685,,,,
Chdh,1.33E-07,-0.286155497,0.112,0.257,0.004277376,-1.219386515,,,,
Manba,6.38E-07,-0.289458303,0.212,0.365,0.020573475,-1.222181292,,,,
Vdac1,5.12E-07,-0.289571519,0.288,0.452,0.016514121,-1.222277207,,,,
Timp3,6.81E-15,-0.289927704,0.349,0.625,2.20E-10,-1.22257901,,,,
Decr1,1.07E-11,-0.290197601,0.021,0.149,3.44E-07,-1.22280775,,,,
Prkg1,2.85E-08,-0.292615346,0.114,0.262,0.000919843,-1.224858714,,,,
Mar-02,6.16E-09,-0.293231759,0.105,0.267,0.000198661,-1.225382165,,,,
Hmgcs1,9.02E-10,-0.293776198,0.041,0.171,2.91E-05,-1.225844683,,,,
Dapk1,7.86E-08,-0.29497674,0.244,0.438,0.002534599,-1.226865197,,,,
Sec11a,2.60E-10,-0.295276006,0.114,0.296,8.38E-06,-1.227119718,,,,
Trpc1,5.76E-12,-0.297002082,0.014,0.137,1.86E-07,-1.228588754,,,,
Naca,4.18E-12,-0.297028705,0.055,0.216,1.35E-07,-1.228611425,,,,
Sirt3,3.16E-09,-0.297788814,0.043,0.166,0.000101937,-1.229258912,,,,
Slc25a11,2.23E-11,-0.299848592,0.009,0.12,7.20E-07,-1.231015214,,,,
Lpl,2.15E-15,-0.302382472,0,0.135,6.93E-11,-1.23317921,,,,
Slc22a5,2.38E-09,-0.302428978,0.034,0.149,7.67E-05,-1.233218963,,,,
Zfp697,4.95E-11,-0.302720304,0.011,0.123,1.60E-06,-1.233468013,,,,
Zbtb40,3.39E-07,-0.306484233,0.05,0.154,0.010945628,-1.23669028,,,,
Rps7,5.30E-12,-0.308085267,0,0.103,1.71E-07,-1.238063461,,,,
Lrba,2.02E-08,-0.308274764,0.954,0.986,0.000652367,-1.238226091,,,,
Srsf1,7.66E-07,-0.309421802,0.189,0.344,0.024711767,-1.239210954,,,,
Hacl1,4.44E-14,-0.309998652,0,0.123,1.43E-09,-1.239706542,,,,
Kif12,2.83E-08,-0.311009162,0.094,0.233,0.000912077,-1.240575176,,,,
Hacd2,1.06E-07,-0.312873716,0.144,0.298,0.003422099,-1.242179545,,,,
Ldb2,8.72E-08,-0.313412381,0.053,0.163,0.002814786,-1.242643429,,,,
Zfp706,2.94E-17,-0.314220456,0,0.151,9.48E-13,-1.243339647,,,,
Pfkfb3,4.67E-07,-0.315475192,0.132,0.274,0.01505806,-1.244421471,,,,
Sh3pxd2a,2.46E-07,-0.317519233,0.043,0.147,0.007948563,-1.246185843,,,,
Akr1c21,2.43E-14,-0.319088317,0,0.125,7.84E-10,-1.24754194,,,,
Galnt11,9.06E-07,-0.320808629,0.155,0.296,0.029226359,-1.249030433,,,,
Herc3,8.35E-07,-0.321124114,0.164,0.305,0.026938473,-1.249303598,,,,
Sdc2,7.72E-09,-0.321370514,0.08,0.224,0.00024919,-1.249516986,,,,
Pik3c2g,6.20E-14,-0.325629063,0.091,0.303,2.00E-09,-1.253210761,,,,
Gstz1,1.10E-15,-0.328340262,0.016,0.178,3.55E-11,-1.255568084,,,,
Ndufa4,6.36E-11,-0.329526082,0.037,0.173,2.05E-06,-1.25660052,,,,
Cd36,1.17E-15,-0.331524058,0,0.137,3.77E-11,-1.258341981,,,,
Hps5,1.04E-14,-0.332670514,0.009,0.151,3.36E-10,-1.259342336,,,,
Crot,3.78E-09,-0.33431111,0.171,0.353,0.000121894,-1.260775243,,,,
Ghitm,9.21E-12,-0.33465841,0.082,0.255,2.97E-07,-1.261078785,,,,
Ptprc,6.52E-08,-0.337036474,0.048,0.159,0.002104779,-1.263159196,,,,
Slc7a8,7.86E-07,-0.338202402,0.185,0.334,0.025375489,-1.264180443,,,,
Col4a1,1.98E-07,-0.339015656,0.144,0.298,0.006384089,-1.264893269,,,,
Hlf,1.23E-12,-0.339618892,0.009,0.132,3.95E-08,-1.265422271,,,,
Meis2,4.93E-13,-0.340537317,0.03,0.18,1.59E-08,-1.2662281,,,,
Arsb,4.66E-12,-0.34177189,0.057,0.221,1.50E-07,-1.267312127,,,,
Plscr4,1.07E-19,-0.343630168,0,0.173,3.46E-15,-1.268945552,,,,
Ptk2b,8.25E-08,-0.343845103,0.087,0.214,0.002663359,-1.269134616,,,,
Sestd1,1.37E-07,-0.344547168,0.744,0.87,0.004421498,-1.269752371,,,,
Lamp1,2.68E-07,-0.344745668,0.174,0.329,0.008659633,-1.269927088,,,,
Srek1,1.17E-06,-0.345764762,0.696,0.846,0.037860268,-1.270824459,,,,
Elmo1,3.97E-09,-0.346080022,0.03,0.139,0.000128059,-1.271102192,,,,
Atp5l,2.19E-10,-0.347933278,0.025,0.147,7.08E-06,-1.272736072,,,,
Rps18,1.48E-13,-0.350206639,0,0.118,4.77E-09,-1.274743197,,,,
Mettl7a1,2.43E-12,-0.351301998,0.014,0.139,7.85E-08,-1.275711407,,,,
Adamts6,2.34E-11,-0.352603134,0.119,0.305,7.55E-07,-1.276862463,,,,
Tfcp2l1,5.41E-08,-0.355508339,0.836,0.964,0.001746025,-1.279436316,,,,
Fnip2,2.97E-12,-0.355968151,0.016,0.144,9.58E-08,-1.27984416,,,,
Ncoa3,8.55E-08,-0.35744199,0.365,0.529,0.002756992,-1.281152301,,,,
Hspa5,5.96E-12,-0.36120111,0.08,0.257,1.92E-07,-1.284494854,,,,
Mpv17l,3.98E-10,-0.364567853,0.064,0.209,1.28E-05,-1.287495913,,,,
Maf,4.90E-13,-0.365583852,0,0.113,1.58E-08,-1.288402934,,,,
D630045J12Rik,6.91E-07,-0.366229941,0.32,0.481,0.02230681,-1.288980055,,,,
Slc6a15,4.44E-14,-0.367277402,0,0.123,1.43E-09,-1.289916252,,,,
Rbpms2,8.01E-08,-0.367488085,0.137,0.279,0.002582819,-1.290104638,,,,
Ncoa7,2.07E-08,-0.372638025,0.174,0.341,0.000667398,-1.294718111,,,,
Amotl2,7.09E-13,-0.373432834,0.011,0.139,2.29E-08,-1.295431593,,,,
Fign,6.39E-07,-0.378535591,0.11,0.236,0.020625866,-1.300021597,,,,
4931406C07Rik,1.07E-19,-0.38069574,0,0.173,3.46E-15,-1.301969579,,,,
Wls,4.19E-10,-0.389433347,0.811,0.897,1.35E-05,-1.309878816,,,,
Acaa2,2.32E-22,-0.397101229,0.002,0.202,7.50E-18,-1.316859318,,,,
Chd9,2.14E-07,-0.39935598,0.607,0.764,0.006896084,-1.318919013,,,,
Smco4,5.41E-07,-0.399585704,0.078,0.195,0.017465384,-1.319129044,,,,
Phyh,2.10E-11,-0.400576491,0.167,0.373,6.77E-07,-1.320035282,,,,
Mbnl1,7.84E-07,-0.400625002,0.468,0.623,0.025300064,-1.32007967,,,,
Ppm1k,5.64E-09,-0.402232685,0.059,0.183,0.000181827,-1.321551535,,,,
Fut8,2.21E-09,-0.404153404,0.26,0.471,7.14E-05,-1.323312142,,,,
Arhgap32,6.91E-07,-0.406241711,0.395,0.558,0.022300372,-1.325229029,,,,
Phyhipl,8.79E-13,-0.408446206,0.014,0.144,2.84E-08,-1.327255579,,,,
Pank1,8.69E-08,-0.409191659,0.1,0.233,0.002803861,-1.327941561,,,,
Tmem106b,9.56E-09,-0.409353929,0.148,0.308,0.000308481,-1.328090932,,,,
Nus1,7.32E-12,-0.411047706,0.068,0.236,2.36E-07,-1.329651075,,,,
Lactb2,1.07E-19,-0.411627246,0,0.173,3.46E-15,-1.330185312,,,,
Smim5,1.89E-07,-0.412581652,0.059,0.173,0.006113978,-1.331065579,,,,
Trpm7,1.05E-07,-0.413279348,0.58,0.733,0.003394067,-1.331709446,,,,
Bnc2,3.95E-15,-0.417095712,0,0.132,1.27E-10,-1.335236883,,,,
Atp6v0b,1.15E-06,-0.417773408,0.365,0.514,0.037119482,-1.335864249,,,,
Gas2,2.94E-17,-0.42013783,0,0.151,9.48E-13,-1.338055382,,,,
Klk1,8.25E-08,-0.420746216,0.021,0.111,0.002662031,-1.33861976,,,,
Cth,2.70E-20,-0.420852479,0.002,0.185,8.72E-16,-1.338718361,,,,
Plcb1,9.59E-12,-0.423591604,0,0.101,3.10E-07,-1.341262489,,,,
Rpl17,6.96E-10,-0.423833512,0.053,0.19,2.25E-05,-1.341487408,,,,
Hibadh,1.63E-08,-0.424448706,0.363,0.548,0.000526245,-1.342059566,,,,
H3f3b,2.15E-18,-0.427358806,0.043,0.262,6.93E-14,-1.344769404,,,,
Ccdc141,1.05E-08,-0.428942727,0.838,0.904,0.000339547,-1.346246624,,,,
Itpr1,3.88E-08,-0.430041661,0.735,0.846,0.001251886,-1.347272482,,,,
Sgms2,4.27E-07,-0.431874818,0.409,0.582,0.013772322,-1.348985478,,,,
Pbx1,3.79E-09,-0.43389395,0.781,0.921,0.000122348,-1.35087478,,,,
S100g,4.58E-18,-0.434526014,0,0.159,1.48E-13,-1.351466747,,,,
Npnt,3.99E-09,-0.435962544,0.42,0.618,0.000128802,-1.352813108,,,,
Akap13,4.80E-07,-0.436163033,0.317,0.49,0.0154891,-1.353001119,,,,
Ppia,5.06E-14,-0.436713059,0.055,0.233,1.63E-09,-1.353517048,,,,
Adgrl4,3.08E-15,-0.441123768,0.037,0.212,9.93E-11,-1.357661448,,,,
Got1,4.68E-08,-0.441811833,0.098,0.233,0.001511558,-1.358309112,,,,
Cltrn,3.66E-19,-0.443206778,0.005,0.18,1.18E-14,-1.3596231,,,,
Slc30a9,8.01E-08,-0.444516783,0.345,0.507,0.002582945,-1.360858234,,,,
Atp6v0a4,8.71E-08,-0.445970744,0.669,0.791,0.002808735,-1.36223041,,,,
Rreb1,1.63E-08,-0.446756889,0.269,0.454,0.000524328,-1.362972911,,,,
Egfr,7.84E-11,-0.446772823,0.358,0.611,2.53E-06,-1.362987965,,,,
Fnip1,5.46E-08,-0.450011385,0.224,0.389,0.001760545,-1.366051037,,,,
Cox7b,2.90E-16,-0.452959492,0.119,0.365,9.36E-12,-1.368845379,,,,
Kifc3,4.03E-10,-0.453114479,0.167,0.356,1.30E-05,-1.36899244,,,,
Slc16a10,2.55E-09,-0.454750076,0.171,0.351,8.21E-05,-1.370545359,,,,
Nrg1,1.61E-08,-0.455072241,0.185,0.351,0.000519842,-1.370851447,,,,
Folh1,3.50E-22,-0.45529559,0,0.195,1.13E-17,-1.37106369,,,,
Clec2d,4.32E-10,-0.455703617,0.087,0.243,1.39E-05,-1.371451512,,,,
Acadm,3.71E-10,-0.456665147,0.153,0.329,1.20E-05,-1.372365865,,,,
Myo6,1.80E-07,-0.460657698,0.703,0.829,0.005813529,-1.376169045,,,,
Gm19951,2.14E-08,-0.461332201,0.363,0.57,0.000690442,-1.376812596,,,,
Cyb5a,6.65E-22,-0.464293547,0,0.192,2.15E-17,-1.37964161,,,,
Slc25a30,1.09E-06,-0.464852885,0.185,0.325,0.035058737,-1.380176606,,,,
Suclg1,1.45E-10,-0.464895743,0.169,0.356,4.69E-06,-1.380217608,,,,
Rbpms,1.13E-08,-0.468486234,0.502,0.69,0.000363366,-1.383656887,,,,
Ptms,1.79E-18,-0.470646055,0.03,0.231,5.77E-14,-1.385729875,,,,
Gclc,3.13E-12,-0.473017353,0.518,0.767,1.01E-07,-1.388009415,,,,
Chuk,4.31E-08,-0.473931319,0.267,0.433,0.001390793,-1.388889014,,,,
Mtss1,1.75E-11,-0.476448075,0.116,0.31,5.64E-07,-1.391314022,,,,
Ppargc1a,2.05E-12,-0.478409353,0.797,0.938,6.60E-08,-1.393206735,,,,
Pam,6.33E-09,-0.479151536,0.121,0.279,0.000204196,-1.393923644,,,,
Retreg1,3.79E-09,-0.481924283,0.491,0.688,0.000122373,-1.396605233,,,,
Agps,1.29E-08,-0.483296887,0.244,0.418,0.000415636,-1.397934618,,,,
Mia2,2.01E-07,-0.485188775,0.409,0.579,0.006474705,-1.399769012,,,,
Itgb8,3.77E-24,-0.489176459,0,0.212,1.22E-19,-1.403643398,,,,
Psap,5.79E-19,-0.489626791,0.03,0.236,1.87E-14,-1.404081609,,,,
Vegfa,7.91E-10,-0.492437563,0.103,0.262,2.55E-05,-1.406819817,,,,
Ugt8a,2.32E-18,-0.493810913,0.005,0.173,7.48E-14,-1.408159654,,,,
Rps29,2.97E-15,-0.501086036,0.002,0.139,9.57E-11,-1.415278558,,,,
Zbtb20,7.17E-15,-0.503173925,0.879,0.978,2.31E-10,-1.417328253,,,,
Cnn3,5.84E-07,-0.503891981,0.297,0.447,0.018843926,-1.418033859,,,,
Nfyc,1.88E-10,-0.504191219,0.742,0.853,6.07E-06,-1.418328013,,,,
Clic4,4.55E-14,-0.504261722,0.055,0.236,1.47E-09,-1.418397327,,,,
Cttnbp2,5.61E-09,-0.507580874,0.279,0.462,0.000180937,-1.421664335,,,,
Tmcc3,2.86E-07,-0.508807698,0.532,0.68,0.00921753,-1.422873789,,,,
Cat,9.63E-19,-0.510998164,0.018,0.209,3.11E-14,-1.4250358,,,,
Gabarapl1,1.28E-11,-0.511122337,0.107,0.288,4.13E-07,-1.425158459,,,,
Wnk1,8.39E-13,-0.512212712,0.571,0.851,2.71E-08,-1.426235987,,,,
Tbc1d32,3.95E-07,-0.514469576,0.205,0.356,0.012741498,-1.428468849,,,,
Dennd5b,8.02E-14,-0.517686386,0.217,0.462,2.59E-09,-1.431657492,,,,
Ptgfr,3.19E-07,-0.525246331,0.073,0.188,0.010292222,-1.43917929,,,,
Apela,1.52E-06,-0.527164433,0.212,0.358,0.048909109,-1.44109399,,,,
Arhgap29,4.68E-07,-0.52781313,0.365,0.514,0.015096134,-1.441742113,,,,
Arhgap5,4.62E-09,-0.534575871,0.683,0.817,0.000149221,-1.448516252,,,,
Slc6a6,1.22E-14,-0.53707099,0.091,0.3,3.93E-10,-1.451023606,,,,
Cyp2j11,3.38E-12,-0.537311127,0.128,0.334,1.09E-07,-1.45126515,,,,
Aldh6a1,2.44E-19,-0.537640584,0.034,0.245,7.87E-15,-1.451596601,,,,
Vmp1,9.63E-16,-0.539518876,0.005,0.149,3.11E-11,-1.453487713,,,,
Adhfe1,7.87E-22,-0.539637186,0.007,0.209,2.54E-17,-1.453606913,,,,
Il15,7.51E-10,-0.539733435,0.203,0.389,2.42E-05,-1.453703894,,,,
Slc5a3,1.15E-13,-0.543484824,0.194,0.44,3.71E-09,-1.457488827,,,,
Fam13a,2.95E-10,-0.547408119,0.169,0.368,9.53E-06,-1.461457747,,,,
Ncam2,1.07E-09,-0.553761674,0.041,0.166,3.44E-05,-1.467908125,,,,
Gpc4,8.70E-22,-0.555627118,0.011,0.219,2.81E-17,-1.469807398,,,,
Map2k6,1.38E-11,-0.561116433,0.119,0.305,4.44E-07,-1.475410526,,,,
Cflar,3.67E-18,-0.561674889,0.037,0.24,1.18E-13,-1.475981756,,,,
Ptma,1.17E-15,-0.561822876,0.046,0.236,3.76E-11,-1.476133165,,,,
Unc5c,7.42E-27,-0.564565783,0.002,0.24,2.40E-22,-1.478942315,,,,
Eef1a1,2.09E-12,-0.565050335,0.073,0.252,6.74E-08,-1.479439125,,,,
Atp5a1,8.17E-11,-0.57039188,0.075,0.233,2.64E-06,-1.484926868,,,,
Sdc4,1.18E-14,-0.577889131,0.135,0.356,3.80E-10,-1.49266367,,,,
Ptprk,1.36E-08,-0.577941712,0.47,0.637,0.000438486,-1.492718073,,,,
Tpt1,4.44E-14,-0.578202242,0,0.123,1.43E-09,-1.492987661,,,,
Sycp3,7.18E-19,-0.578687333,0.041,0.26,2.32E-14,-1.493489746,,,,
Map3k5,2.44E-09,-0.579262952,0.345,0.531,7.86E-05,-1.494085751,,,,
Kng2,3.48E-09,-0.579479347,0.605,0.769,0.000112365,-1.494309871,,,,
Igf1r,1.26E-11,-0.580184631,0.452,0.683,4.06E-07,-1.495040566,,,,
Egf,2.94E-13,-0.58256434,0.021,0.163,9.49E-09,-1.497508654,,,,
Evi5,3.76E-11,-0.583051781,0.345,0.555,1.21E-06,-1.4980147,,,,
Kl,6.08E-11,-0.591017877,0.416,0.649,1.96E-06,-1.506309132,,,,
Pde4d,3.15E-19,-0.591214662,0.445,0.796,1.02E-14,-1.506514608,,,,
Osbpl9,1.48E-10,-0.595234845,0.402,0.608,4.76E-06,-1.510718483,,,,
Fggy,7.92E-20,-0.598743535,0.002,0.18,2.56E-15,-1.514397081,,,,
Klf9,2.70E-19,-0.600037068,0.135,0.409,8.71E-15,-1.515755511,,,,
Fam214a,1.03E-18,-0.600564536,0.107,0.361,3.32E-14,-1.516309793,,,,
Picalm,3.85E-11,-0.600601813,0.445,0.656,1.24E-06,-1.516348972,,,,
Ivns1abp,6.63E-14,-0.601599178,0.781,0.904,2.14E-09,-1.517397618,,,,
Peli2,5.63E-13,-0.606883196,0.795,0.909,1.82E-08,-1.522965432,,,,
Cacnb4,7.59E-10,-0.607248429,0.445,0.623,2.45E-05,-1.523351034,,,,
Aass,3.03E-20,-0.611196983,0,0.178,9.79E-16,-1.527526049,,,,
Arhgap15,2.61E-20,-0.616957685,0.011,0.207,8.41E-16,-1.533637676,,,,
Foxo1,7.97E-16,-0.623105935,0.105,0.332,2.57E-11,-1.540187438,,,,
Sult1d1,2.36E-29,-0.632329512,0,0.255,7.61E-25,-1.550065857,,,,
Gphn,2.18E-17,-0.64127643,0.785,0.921,7.02E-13,-1.559708507,,,,
Msra,1.39E-21,-0.648355091,0.011,0.216,4.48E-17,-1.567380106,,,,
Slc12a6,2.58E-12,-0.648854674,0.174,0.375,8.32E-08,-1.567922959,,,,
Idh2,3.03E-14,-0.650639763,0.199,0.428,9.78E-10,-1.569864197,,,,
Cdk6,3.02E-10,-0.651017548,0.196,0.375,9.73E-06,-1.570275337,,,,
Trp53bp2,2.84E-13,-0.655175386,0.242,0.459,9.16E-09,-1.574807388,,,,
Bckdhb,1.25E-10,-0.656843056,0.525,0.68,4.04E-06,-1.576628825,,,,
Nfia,2.11E-19,-0.666286688,0.021,0.221,6.81E-15,-1.586983016,,,,
Cers6,1.18E-16,-0.670303858,0.073,0.286,3.81E-12,-1.591408111,,,,
Spp1,4.17E-13,-0.676518357,0.151,0.377,1.34E-08,-1.598277988,,,,
Klf12,3.99E-17,-0.684971407,0.295,0.596,1.29E-12,-1.607670119,,,,
Col4a3,4.92E-22,-0.686558186,0.491,0.803,1.59E-17,-1.609439321,,,,
Zbtb16,9.90E-15,-0.697784022,0.283,0.538,3.19E-10,-1.62201147,,,,
Atp2a2,1.62E-17,-0.698822737,0.178,0.45,5.23E-13,-1.623179711,,,,
Plxdc2,5.28E-12,-0.699522392,0.489,0.678,1.70E-07,-1.623967085,,,,
Col27a1,6.13E-31,-0.701032736,0.009,0.291,1.98E-26,-1.625668091,,,,
Rida,2.50E-21,-0.704946295,0.037,0.269,8.05E-17,-1.630083983,,,,
Nox4,5.15E-27,-0.70823995,0,0.236,1.66E-22,-1.633809695,,,,
Trabd2b,1.36E-09,-0.710832108,0.315,0.519,4.38E-05,-1.636747878,,,,
Dst,5.27E-16,-0.714538783,0.664,0.851,1.70E-11,-1.640958534,,,,
Eva1a,1.25E-14,-0.719582546,0.167,0.401,4.02E-10,-1.64670548,,,,
Oxr1,8.33E-16,-0.723180529,0.185,0.43,2.69E-11,-1.650817376,,,,
Bcl2l1,1.61E-18,-0.726392373,0.288,0.579,5.19E-14,-1.654496653,,,,
Pkp4,1.32E-18,-0.732782329,0.491,0.762,4.26E-14,-1.66184097,,,,
Lrrk2,2.10E-22,-0.734652228,0.08,0.358,6.78E-18,-1.663996303,,,,
Erbb4,9.54E-26,-0.736991838,0.151,0.502,3.08E-21,-1.666696985,,,,
Pawr,6.15E-20,-0.737996305,0.169,0.462,1.98E-15,-1.667857816,,,,
Dab2,2.46E-18,-0.739575655,0,0.161,7.93E-14,-1.669684656,,,,
Mir99ahg,9.49E-16,-0.749198067,0.523,0.764,3.06E-11,-1.680858253,,,,
Ror1,1.60E-17,-0.750292334,0.105,0.351,5.16E-13,-1.682133648,,,,
Calb1,2.93E-08,-0.754874199,0.299,0.474,0.000944907,-1.687484439,,,,
Pbld1,8.15E-35,-0.758769682,0.011,0.325,2.63E-30,-1.692047047,,,,
Abcd3,9.11E-20,-0.761265763,0.324,0.627,2.94E-15,-1.694977078,,,,
Defb1,7.86E-11,-0.769856701,0.349,0.538,2.54E-06,-1.705100413,,,,
Ddah1,2.55E-25,-0.771288303,0.057,0.339,8.23E-21,-1.706793241,,,,
Rsrp1,1.14E-17,-0.772287873,0.288,0.567,3.69E-13,-1.707976202,,,,
Camk1d,8.27E-31,-0.782425793,0.76,0.959,2.67E-26,-1.72002054,,,,
