Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,p < 0.05:,up,down,,,,,,
Rpl41,1.45E-12,1.018068753,0.284,0.099,4.67E-08,2.025206126,,,,,,Tnfaip3,2.098124044,,Slc5a12,-2.538195553
Uqcr11,8.13E-17,1.006394852,0.329,0.112,2.62E-12,2.008884824,,,,,,Gpx4,2.031921997,,Nox4,-2.646220708
Cox7a2,1.30E-13,1.003350355,0.319,0.123,4.21E-09,2.004649976,,,,,,Rpl41,2.025206126,,Trabd2b,-2.650859614
Atp8a2,9.12E-07,0.998310152,0.113,0.031,0.029426096,1.997658745,,,,,,Uqcr11,2.008884824,,Ptprd,-2.672987971
Ptpn22,1.70E-22,0.995534693,0.871,0.83,5.47E-18,1.99381934,,,,,,Cox7a2,2.004649976,,Pde4d,-2.688298836
Rpl28,2.80E-15,0.985033885,0.329,0.112,9.04E-11,1.979359802,,,,,,Atp8a2,1.997658745,,Auts2,-2.72928285
Dennd4a,1.23E-07,0.963672485,0.61,0.588,0.003955923,1.95026813,,,,,,Ptpn22,1.99381934,,Esrrg,-2.780127249
Cox4i1,5.33E-08,0.949637764,0.397,0.231,0.001718821,1.931387658,,,,,,Rpl28,1.979359802,,Ghr,-2.794283609
Rpl21,2.61E-20,0.945595427,0.326,0.079,8.42E-16,1.925983612,,,,,,Dennd4a,1.95026813,,Slc35f3,-3.206962457
Kap,3.96E-14,0.923799073,0.761,0.571,1.28E-09,1.897104399,,,,,,Cox4i1,1.931387658,,Gm26917,-3.480077134
S100g,1.50E-16,0.90598836,0.277,0.071,4.83E-12,1.873827775,,,,,,Rpl21,1.925983612,,Fut9,-4.224676731
Ppp1r16b,1.29E-09,0.900273406,0.729,0.69,4.15E-05,1.866419655,,,,,,,,,,
Chchd2,2.71E-09,0.896039608,0.423,0.242,8.73E-05,1.860950406,,,,,,,,,,
Ndufa2,4.25E-18,0.884186446,0.265,0.059,1.37E-13,1.845723501,,,,,,,,,,
Fryl,8.50E-09,0.857790594,0.703,0.701,0.000274336,1.812260809,,,,,,,,,,
Chchd10,4.69E-10,0.855833825,0.252,0.099,1.51E-05,1.809804453,,,,,,,,,,
Rpl37a,1.08E-06,0.849060434,0.361,0.227,0.03489043,1.801327416,,,,,,,,,,
Apoe,1.39E-07,0.846376998,0.261,0.128,0.004484084,1.797980032,,,,,,,,,,
Spink1,9.24E-07,0.838715812,0.429,0.293,0.029807215,1.788457471,,,,,,,,,,
Atp5g1,2.08E-12,0.799489584,0.206,0.055,6.70E-08,1.740485246,,,,,,,,,,
Rpl18a,6.05E-09,0.784951428,0.319,0.158,0.000195232,1.723034308,,,,,,,,,,
Ech1,1.56E-07,0.780696414,0.223,0.106,0.005043002,1.717959962,,,,,,,,,,
Atpif1,5.58E-13,0.779118336,0.271,0.088,1.80E-08,1.716081816,,,,,,,,,,
Micos13,1.43E-21,0.778219711,0.197,0.013,4.62E-17,1.715013236,,,,,,,,,,
Ets1,2.20E-08,0.739523085,0.694,0.672,0.000709331,1.669623816,,,,,,,,,,
Runx1,2.15E-07,0.727099179,0.745,0.81,0.006951261,1.655307424,,,,,,,,,,
Napsa,7.66E-08,0.695799344,0.368,0.201,0.002471555,1.619781646,,,,,,,,,,
Gpx1,1.24E-06,0.694461365,0.3,0.163,0.039906472,1.61828013,,,,,,,,,,
Klk1,3.15E-14,0.64451367,0.119,0.005,1.02E-09,1.563212241,,,,,,,,,,
Atp5k,2.65E-07,0.638202507,0.181,0.071,0.008558299,1.556388804,,,,,,,,,,
Gapdh,6.76E-10,0.629701418,0.245,0.092,2.18E-05,1.54724474,,,,,,,,,,
Atp5e,1.96E-08,0.618339348,0.206,0.075,0.000633511,1.535107139,,,,,,,,,,
Ndufs6,3.12E-08,0.601584356,0.152,0.046,0.001005072,1.517382028,,,,,,,,,,
Ccnd3,1.95E-11,0.590713803,0.926,0.916,6.29E-07,1.505991683,,,,,,,,,,
Gm2000,5.27E-17,0.576339471,0.129,0.002,1.70E-12,1.491061197,,,,,,,,,,
Egr1,1.65E-08,0.570795034,0.113,0.022,0.00053376,1.485341881,,,,,,,,,,
Nat8f1,1.42E-16,0.557384993,0.132,0.004,4.59E-12,1.471599399,,,,,,,,,,
Atp5d,6.56E-12,0.552221217,0.158,0.029,2.12E-07,1.466341583,,,,,,,,,,
Celf2,2.36E-07,0.549078151,0.832,0.868,0.007600723,1.463150478,,,,,,,,,,
Myl6,4.04E-11,0.547053304,0.239,0.075,1.30E-06,1.461098361,,,,,,,,,,
Elob,7.18E-14,0.531964592,0.155,0.02,2.32E-09,1.445896808,,,,,,,,,,
Mt1,3.85E-09,0.515345023,0.142,0.035,0.000124183,1.429335927,,,,,,,,,,
Ndufa13,3.76E-09,0.509163036,0.223,0.079,0.00012146,1.423224288,,,,,,,,,,
Dnase1,2.42E-08,0.433531366,0.158,0.046,0.000781367,1.350535316,,,,,,,,,,
Ddt,3.64E-07,0.37421177,0.106,0.026,0.011759191,1.296131208,,,,,,,,,,
Guca2b,2.09E-14,0.321112377,0.103,0,6.74E-10,1.249293434,,,,,,,,,,
Pawr,2.77E-07,-0.251662633,0.068,0.203,0.008923814,-1.190578406,,,,,,,,,,
Gldc,6.90E-11,-0.253035306,0.01,0.15,2.23E-06,-1.191711738,,,,,,,,,,
Clmn,4.06E-08,-0.253259429,0.01,0.114,0.001311248,-1.191896885,,,,,,,,,,
Ankhd1,6.63E-07,-0.256752658,0.494,0.751,0.021375828,-1.194786348,,,,,,,,,,
Gstz1,8.46E-07,-0.257848744,0.039,0.15,0.027308774,-1.19569443,,,,,,,,,,
P4hb,1.33E-06,-0.258739901,0.026,0.125,0.042962922,-1.196433243,,,,,,,,,,
Atp13a3,7.21E-07,-0.260531593,0.226,0.43,0.023248075,-1.197920023,,,,,,,,,,
Deptor,8.01E-07,-0.260837878,0.016,0.11,0.025850058,-1.19817437,,,,,,,,,,
Dmxl1,3.21E-07,-0.265891969,0.416,0.658,0.010359879,-1.20237921,,,,,,,,,,
Igfbp4,7.36E-08,-0.270947545,0.006,0.103,0.002374775,-1.206600048,,,,,,,,,,
Dusp11,5.90E-07,-0.271319694,0.184,0.364,0.019044885,-1.206911335,,,,,,,,,,
Pcx,4.02E-12,-0.271808008,0.026,0.198,1.30E-07,-1.207319912,,,,,,,,,,
Pvt1,2.30E-07,-0.272534926,0.519,0.762,0.007418067,-1.207928387,,,,,,,,,,
Tmem135,8.61E-08,-0.27256515,0.229,0.432,0.002776442,-1.207953693,,,,,,,,,,
Cyp4b1,9.49E-07,-0.273459551,0.058,0.181,0.030633455,-1.208702798,,,,,,,,,,
Adap2,4.55E-08,-0.274925551,0.016,0.126,0.001469594,-1.209931651,,,,,,,,,,
Cd52,2.63E-10,-0.275625368,0.135,0.37,8.48E-06,-1.210518702,,,,,,,,,,
Paqr5,7.14E-07,-0.276454012,0.013,0.103,0.023040924,-1.21121419,,,,,,,,,,
Hlf,1.05E-10,-0.277446699,0.023,0.174,3.38E-06,-1.212047887,,,,,,,,,,
Ddx39b,3.58E-07,-0.278008089,0.194,0.381,0.011559927,-1.212519617,,,,,,,,,,
Pax8,3.03E-08,-0.278072915,0.003,0.101,0.00097781,-1.212574102,,,,,,,,,,
Nfib,1.43E-10,-0.278289661,0.11,0.315,4.61E-06,-1.212756289,,,,,,,,,,
Dmxl2,1.69E-08,-0.27892259,0.016,0.132,0.000543959,-1.213288458,,,,,,,,,,
Map3k13,3.54E-07,-0.280158663,0.013,0.108,0.011435326,-1.214328425,,,,,,,,,,
Foxo1,7.44E-08,-0.280360657,0.416,0.672,0.002398978,-1.214498457,,,,,,,,,,
Dalrd3,2.40E-08,-0.280630619,0.01,0.115,0.000773914,-1.214725739,,,,,,,,,,
Kif21a,5.86E-10,-0.283653433,0.01,0.137,1.89E-05,-1.217273568,,,,,,,,,,
Nit1,1.80E-08,-0.285135491,0.016,0.13,0.000579882,-1.218524696,,,,,,,,,,
Igha,7.23E-09,-0.285592094,0.052,0.207,0.000233387,-1.218910412,,,,,,,,,,
Npm1,7.33E-07,-0.285884763,0.203,0.401,0.023663746,-1.219157708,,,,,,,,,,
Agmo,1.56E-07,-0.286232133,0.013,0.114,0.005025783,-1.219451291,,,,,,,,,,
Cdh1,1.36E-07,-0.286739562,0.029,0.145,0.004390047,-1.219880276,,,,,,,,,,
Fut8,1.36E-09,-0.28772174,0.397,0.672,4.40E-05,-1.220711045,,,,,,,,,,
Slc5a8,3.45E-11,-0.28900432,0.019,0.172,1.11E-06,-1.221796761,,,,,,,,,,
D630045J12Rik,5.83E-10,-0.289044845,0.003,0.123,1.88E-05,-1.221831081,,,,,,,,,,
Vti1a,2.94E-07,-0.290348663,0.503,0.756,0.009495405,-1.222935795,,,,,,,,,,
Stox2,7.93E-09,-0.290501128,0.006,0.115,0.000255989,-1.223065042,,,,,,,,,,
Snx7,9.07E-11,-0.292130249,0.013,0.156,2.93E-06,-1.224446933,,,,,,,,,,
Abat,9.39E-09,-0.293925871,0.013,0.126,0.000302827,-1.225971865,,,,,,,,,,
Ehmt1,1.44E-07,-0.294722046,0.261,0.48,0.004631962,-1.226648625,,,,,,,,,,
Fmo1,9.06E-09,-0.298585538,0.003,0.108,0.000292418,-1.229937953,,,,,,,,,,
Dst,2.64E-10,-0.299008297,0.152,0.374,8.50E-06,-1.23029842,,,,,,,,,,
Frmd4b,1.33E-10,-0.299286156,0.052,0.222,4.30E-06,-1.230535395,,,,,,,,,,
Wdr72,1.03E-09,-0.300840692,0.01,0.134,3.33E-05,-1.231862039,,,,,,,,,,
Atp6v1a,5.36E-07,-0.302013401,0.145,0.324,0.017304957,-1.232863778,,,,,,,,,,
Gipc2,5.35E-08,-0.302153175,0.019,0.13,0.001726579,-1.232983228,,,,,,,,,,
Rhobtb1,9.84E-08,-0.303479191,0.045,0.176,0.003174536,-1.234117014,,,,,,,,,,
Dock7,8.67E-08,-0.303786266,0.016,0.123,0.002797349,-1.234379721,,,,,,,,,,
4732471J01Rik,4.77E-07,-0.304127357,0.019,0.119,0.015382632,-1.234671595,,,,,,,,,,
Srgap2,4.11E-07,-0.30477409,0.352,0.584,0.01327352,-1.235225199,,,,,,,,,,
Steap2,1.98E-08,-0.304795,0.019,0.136,0.000639293,-1.235243103,,,,,,,,,,
Ifi203,1.16E-06,-0.306078782,0.277,0.516,0.037457183,-1.236342773,,,,,,,,,,
Ezr,3.42E-07,-0.306223253,0.242,0.432,0.011025805,-1.236466586,,,,,,,,,,
Atp6v0a4,8.36E-09,-0.30720311,0.013,0.13,0.00026987,-1.237306661,,,,,,,,,,
Ppara,3.00E-12,-0.307689865,0.006,0.159,9.67E-08,-1.23772419,,,,,,,,,,
Slc7a8,5.36E-08,-0.308048138,0.019,0.134,0.001730319,-1.2380316,,,,,,,,,,
Fign,8.31E-07,-0.309463385,0.029,0.132,0.02680124,-1.239246672,,,,,,,,,,
0610040J01Rik,7.56E-09,-0.309935169,0.019,0.143,0.000243964,-1.239651992,,,,,,,,,,
Ube2e2,7.21E-10,-0.310068717,0.048,0.212,2.33E-05,-1.23976675,,,,,,,,,,
Hnrnpa2b1,1.26E-07,-0.311146078,0.577,0.799,0.004075673,-1.240692916,,,,,,,,,,
Osbpl9,1.09E-08,-0.311155931,0.326,0.557,0.000350636,-1.24070139,,,,,,,,,,
Nipsnap2,9.49E-08,-0.311639512,0.061,0.198,0.003063231,-1.241117333,,,,,,,,,,
Mertk,2.22E-12,-0.312047357,0.026,0.203,7.17E-08,-1.241468242,,,,,,,,,,
Dip2c,9.38E-10,-0.313057399,0.11,0.3,3.03E-05,-1.242337708,,,,,,,,,,
Map7,1.51E-11,-0.313147824,0.01,0.158,4.86E-07,-1.242415578,,,,,,,,,,
Fam13a,9.74E-08,-0.3133093,0.013,0.114,0.003144058,-1.242554645,,,,,,,,,,
Tnpo1,2.89E-07,-0.316971167,0.335,0.59,0.00931226,-1.245712519,,,,,,,,,,
Ly6c2,2.29E-08,-0.319511835,0.016,0.132,0.000740416,-1.247908223,,,,,,,,,,
Dapk1,5.46E-08,-0.320139318,0.013,0.119,0.001761576,-1.248451103,,,,,,,,,,
Hps5,2.37E-07,-0.320245749,0.074,0.207,0.007645455,-1.248543208,,,,,,,,,,
Tardbp,2.84E-07,-0.320426781,0.232,0.427,0.009147171,-1.248699887,,,,,,,,,,
Stxbp5l,6.62E-08,-0.321019402,0.016,0.125,0.00213532,-1.249212925,,,,,,,,,,
Trak2,1.36E-06,-0.322167473,0.139,0.304,0.043940264,-1.250207423,,,,,,,,,,
Pcbp3,2.25E-10,-0.322266157,0.003,0.128,7.25E-06,-1.250292942,,,,,,,,,,
Slc23a1,2.00E-08,-0.322292136,0.016,0.13,0.000646017,-1.250315458,,,,,,,,,,
Dnajc13,8.38E-07,-0.32315164,0.261,0.445,0.027037176,-1.251060571,,,,,,,,,,
Igsf11,4.24E-09,-0.325050055,0.006,0.119,0.000136802,-1.252707901,,,,,,,,,,
Ppp2r5e,5.65E-08,-0.325138343,0.323,0.549,0.001821342,-1.252784565,,,,,,,,,,
Nufip2,7.29E-08,-0.326850549,0.316,0.557,0.002353415,-1.254272266,,,,,,,,,,
Fhod3,5.01E-09,-0.327030152,0.023,0.152,0.000161716,-1.254428421,,,,,,,,,,
Pcm1,6.51E-07,-0.327257323,0.323,0.542,0.021010815,-1.254625963,,,,,,,,,,
Enox2,6.31E-09,-0.327655385,0.223,0.467,0.000203707,-1.254972182,,,,,,,,,,
Slx4ip,1.21E-06,-0.328945382,0.139,0.306,0.039071337,-1.256094827,,,,,,,,,,
Fuca1,2.12E-07,-0.32898612,0.103,0.262,0.006842219,-1.256130296,,,,,,,,,,
Acss2,4.11E-08,-0.331404334,0.074,0.223,0.001325051,-1.25823756,,,,,,,,,,
Hp1bp3,6.15E-07,-0.332722846,0.194,0.377,0.019853922,-1.259388018,,,,,,,,,,
Mef2c,1.45E-06,-0.333132324,0.348,0.57,0.046673661,-1.259745519,,,,,,,,,,
Dync2h1,1.39E-08,-0.333364672,0.081,0.242,0.000448228,-1.259948418,,,,,,,,,,
Ctdspl,2.27E-07,-0.333583207,0.013,0.11,0.007309255,-1.260139286,,,,,,,,,,
Gm10732,6.01E-10,-0.333692169,0.01,0.137,1.94E-05,-1.260234464,,,,,,,,,,
Wwtr1,1.15E-09,-0.334434479,0.045,0.194,3.72E-05,-1.260883059,,,,,,,,,,
Ar,1.50E-15,-0.334849307,0.11,0.375,4.84E-11,-1.261245662,,,,,,,,,,
Nectin3,2.47E-07,-0.335040777,0.048,0.172,0.007963326,-1.261413061,,,,,,,,,,
Rin2,2.02E-07,-0.337427322,0.055,0.183,0.006513875,-1.263501452,,,,,,,,,,
Tnfaip8,1.67E-09,-0.337487417,0.665,0.89,5.38E-05,-1.263554084,,,,,,,,,,
Mllt10,1.10E-06,-0.338978531,0.5,0.745,0.035599701,-1.26486072,,,,,,,,,,
Ahcyl2,6.82E-07,-0.339444436,0.406,0.625,0.022019115,-1.265269261,,,,,,,,,,
Sorbs1,3.98E-07,-0.339596824,0.161,0.321,0.012839145,-1.265402915,,,,,,,,,,
Syne2,2.48E-07,-0.339770068,0.145,0.315,0.008007775,-1.265554878,,,,,,,,,,
Lgr4,9.13E-15,-0.341267529,0.052,0.278,2.94E-10,-1.266869156,,,,,,,,,,
Hnrnph1,1.07E-07,-0.342731527,0.261,0.476,0.003466375,-1.268155385,,,,,,,,,,
Gnaq,4.90E-07,-0.342840156,0.371,0.597,0.015803667,-1.268250875,,,,,,,,,,
Cyp2j11,1.10E-08,-0.343433553,0.003,0.106,0.000354335,-1.268772629,,,,,,,,,,
Slc16a9,1.63E-12,-0.346143407,0,0.147,5.27E-08,-1.271158039,,,,,,,,,,
Rgl1,2.69E-07,-0.347259289,0.077,0.218,0.008678497,-1.272141622,,,,,,,,,,
Tmem117,4.97E-10,-0.347873252,0.003,0.123,1.60E-05,-1.272683119,,,,,,,,,,
Mar-03,1.35E-09,-0.348170712,0.239,0.478,4.35E-05,-1.272945552,,,,,,,,,,
Mtmr4,3.94E-07,-0.348440514,0.016,0.114,0.012719918,-1.273183631,,,,,,,,,,
Lrrfip2,8.56E-07,-0.348685126,0.152,0.321,0.027621581,-1.27339952,,,,,,,,,,
Zbtb20,4.57E-14,-0.34905321,0.755,0.971,1.47E-09,-1.273724453,,,,,,,,,,
Acox3,1.30E-06,-0.349571059,0.045,0.156,0.041807761,-1.274181733,,,,,,,,,,
Kcnk5,8.29E-11,-0.350004625,0.003,0.134,2.67E-06,-1.274564713,,,,,,,,,,
Plekha7,1.97E-10,-0.352179684,0.01,0.143,6.35E-06,-1.276487742,,,,,,,,,,
Mar-08,6.66E-10,-0.352296508,0.01,0.137,2.15E-05,-1.276591111,,,,,,,,,,
Slit2,9.59E-09,-0.352325525,0.035,0.168,0.000309298,-1.276616788,,,,,,,,,,
Lrpprc,5.47E-07,-0.352572777,0.119,0.273,0.017656933,-1.276835596,,,,,,,,,,
Wdpcp,4.47E-10,-0.35329376,0.026,0.174,1.44E-05,-1.27747385,,,,,,,,,,
Scp2,4.99E-10,-0.353976793,0.155,0.377,1.61E-05,-1.278078804,,,,,,,,,,
Ppfibp1,7.89E-07,-0.353983836,0.045,0.158,0.025442737,-1.278085043,,,,,,,,,,
Tfcp2l1,1.25E-12,-0.35478354,0.01,0.168,4.02E-08,-1.278793698,,,,,,,,,,
Snap23,1.36E-06,-0.356480052,0.084,0.218,0.043882517,-1.280298358,,,,,,,,,,
1810013L24Rik,1.16E-06,-0.357231313,0.165,0.328,0.037526122,-1.280965227,,,,,,,,,,
Peli2,1.74E-07,-0.358840772,0.029,0.141,0.005613352,-1.282395059,,,,,,,,,,
Gcnt2,2.07E-09,-0.360083705,0.016,0.143,6.67E-05,-1.283500364,,,,,,,,,,
Fmo2,6.15E-07,-0.360635847,0.09,0.227,0.01983667,-1.283991674,,,,,,,,,,
Erlin1,6.22E-12,-0.360777017,0.026,0.194,2.01E-07,-1.284117321,,,,,,,,,,
Rp2,1.16E-06,-0.361458382,0.084,0.223,0.037410325,-1.284723934,,,,,,,,,,
Gm20732,1.01E-06,-0.361545803,0.106,0.251,0.032455132,-1.284801785,,,,,,,,,,
Kng2,2.51E-11,-0.361756024,0.045,0.218,8.09E-07,-1.284989013,,,,,,,,,,
Uso1,1.51E-06,-0.362484669,0.155,0.326,0.048587731,-1.285638171,,,,,,,,,,
Ctnna1,3.66E-09,-0.363116646,0.132,0.324,0.000118169,-1.286201472,,,,,,,,,,
Srr,5.57E-07,-0.363177362,0.068,0.194,0.017984646,-1.286255603,,,,,,,,,,
Carmil1,6.49E-08,-0.364129074,0.052,0.183,0.002093063,-1.287104396,,,,,,,,,,
Erc2,1.43E-10,-0.364468931,0.006,0.137,4.63E-06,-1.287407636,,,,,,,,,,
Pum2,3.72E-08,-0.367551206,0.406,0.656,0.001201103,-1.290161084,,,,,,,,,,
Baz1b,1.01E-06,-0.367798783,0.271,0.478,0.032454909,-1.290382504,,,,,,,,,,
Afdn,1.40E-07,-0.36811575,0.084,0.233,0.004506884,-1.290666039,,,,,,,,,,
Slc20a2,9.62E-07,-0.369592201,0.145,0.299,0.031038714,-1.29198758,,,,,,,,,,
Fchsd2,2.63E-08,-0.370268634,0.445,0.712,0.000847948,-1.292593493,,,,,,,,,,
Arhgef12,1.03E-06,-0.370434583,0.29,0.482,0.033367501,-1.292742185,,,,,,,,,,
Fnbp1l,5.90E-08,-0.37146185,0.068,0.209,0.00190261,-1.293663006,,,,,,,,,,
Mark3,6.97E-08,-0.371491269,0.31,0.533,0.002249666,-1.293689386,,,,,,,,,,
Mpv17l,2.66E-07,-0.371997276,0.084,0.223,0.00859799,-1.294143211,,,,,,,,,,
Aff3,7.68E-10,-0.372123584,0.484,0.806,2.48E-05,-1.294256518,,,,,,,,,,
Rbms1,8.86E-08,-0.372969146,0.371,0.59,0.002859538,-1.295015303,,,,,,,,,,
Sep-07,9.44E-07,-0.373808446,0.223,0.414,0.030455107,-1.295768908,,,,,,,,,,
Ubr5,2.24E-08,-0.374357165,0.374,0.61,0.000723016,-1.296261839,,,,,,,,,,
B3gat2,3.75E-10,-0.374516201,0.006,0.132,1.21E-05,-1.296404741,,,,,,,,,,
Meis2,1.49E-07,-0.374739751,0.158,0.332,0.004791946,-1.296605637,,,,,,,,,,
Plekhg3,4.09E-08,-0.374843333,0.026,0.145,0.001319053,-1.296698734,,,,,,,,,,
Rai14,2.22E-08,-0.375390596,0.019,0.136,0.000717258,-1.297190709,,,,,,,,,,
Klf12,8.67E-08,-0.375978057,0.129,0.3,0.002798415,-1.297719029,,,,,,,,,,
4833439L19Rik,4.67E-08,-0.376140747,0.119,0.288,0.001505489,-1.297865379,,,,,,,,,,
Pbx1,1.02E-14,-0.377073434,0.19,0.491,3.29E-10,-1.298704706,,,,,,,,,,
Ndrg1,9.28E-08,-0.377507285,0.029,0.147,0.002993345,-1.299095314,,,,,,,,,,
Pdzd2,3.92E-08,-0.378835714,0.01,0.114,0.001265562,-1.300292069,,,,,,,,,,
Arhgap5,1.49E-08,-0.379149997,0.229,0.443,0.000481612,-1.300575361,,,,,,,,,,
Gnl2,1.04E-06,-0.379387571,0.029,0.132,0.033567831,-1.300789549,,,,,,,,,,
Pdzk1,4.47E-13,-0.380643556,0.01,0.176,1.44E-08,-1.301922487,,,,,,,,,,
Dnm1l,9.77E-08,-0.380794307,0.168,0.361,0.003151018,-1.302058534,,,,,,,,,,
Eps8,7.83E-12,-0.381109094,0.016,0.174,2.52E-07,-1.302342667,,,,,,,,,,
Sema3c,2.03E-08,-0.381327641,0.006,0.11,0.00065593,-1.302539968,,,,,,,,,,
Kcmf1,5.56E-07,-0.381890534,0.268,0.467,0.017951245,-1.303048276,,,,,,,,,,
4930402H24Rik,1.78E-09,-0.382182783,0.19,0.399,5.74E-05,-1.303312262,,,,,,,,,,
Galnt18,1.08E-09,-0.382826488,0,0.112,3.48E-05,-1.303893907,,,,,,,,,,
Uap1,1.84E-11,-0.383853426,0,0.134,5.94E-07,-1.304822374,,,,,,,,,,
Itpr1,1.36E-07,-0.384179465,0.506,0.705,0.004378344,-1.305117289,,,,,,,,,,
3110056K07Rik,2.21E-07,-0.384219904,0.094,0.245,0.007131223,-1.305153871,,,,,,,,,,
Esr1,4.42E-07,-0.384618356,0.048,0.168,0.014248784,-1.305514386,,,,,,,,,,
Gm6999,1.45E-10,-0.386110299,0.003,0.13,4.69E-06,-1.306865165,,,,,,,,,,
Eif4g2,4.81E-08,-0.386157379,0.31,0.538,0.001552704,-1.306907813,,,,,,,,,,
Il15,1.17E-08,-0.387466283,0.065,0.218,0.000378437,-1.30809406,,,,,,,,,,
Myo5b,2.94E-09,-0.388293116,0,0.106,9.50E-05,-1.308843966,,,,,,,,,,
Pid1,1.17E-06,-0.388517962,0.081,0.214,0.037901362,-1.309047967,,,,,,,,,,
St13,1.19E-07,-0.388651355,0.181,0.366,0.003846115,-1.309169008,,,,,,,,,,
Cobl,4.03E-07,-0.388833311,0.023,0.125,0.012991418,-1.309334134,,,,,,,,,,
Glud1,4.11E-12,-0.389110579,0.216,0.476,1.33E-07,-1.309585796,,,,,,,,,,
2610037D02Rik,3.35E-07,-0.389284246,0.223,0.419,0.010823123,-1.309743449,,,,,,,,,,
Srek1,3.63E-10,-0.389455102,0.242,0.491,1.17E-05,-1.309898569,,,,,,,,,,
Ccdc141,1.27E-10,-0.390278021,0.016,0.158,4.08E-06,-1.310645954,,,,,,,,,,
Etl4,2.37E-08,-0.391918449,0.013,0.123,0.000764217,-1.312137081,,,,,,,,,,
Myo5a,6.36E-07,-0.392244572,0.319,0.54,0.020518849,-1.312433726,,,,,,,,,,
Arhgap32,1.44E-11,-0.393473398,0.019,0.178,4.64E-07,-1.313552076,,,,,,,,,,
Tmem245,1.14E-06,-0.393577732,0.213,0.383,0.0366959,-1.313647074,,,,,,,,,,
Msra,8.81E-09,-0.39384619,0.203,0.405,0.000284123,-1.313891542,,,,,,,,,,
Ube2n,2.26E-07,-0.394183629,0.084,0.231,0.007294928,-1.314198891,,,,,,,,,,
Usp33,1.34E-06,-0.394571442,0.145,0.293,0.043092191,-1.31455221,,,,,,,,,,
Ugt3a2,2.23E-11,-0.394632211,0.035,0.205,7.20E-07,-1.314607582,,,,,,,,,,
Uty,1.31E-08,-0.395130615,0.284,0.522,0.000421868,-1.315061815,,,,,,,,,,
Sox5,6.84E-10,-0.395455817,0.261,0.516,2.21E-05,-1.31535828,,,,,,,,,,
Jpx,9.84E-09,-0.395656162,0.026,0.154,0.000317564,-1.315540954,,,,,,,,,,
Cfap69,7.28E-11,-0.396128229,0.003,0.134,2.35E-06,-1.315971486,,,,,,,,,,
Add3,1.33E-06,-0.397309877,0.355,0.582,0.042827284,-1.317049781,,,,,,,,,,
Gm37245,5.05E-12,-0.398652315,0.016,0.178,1.63E-07,-1.318275876,,,,,,,,,,
Tef,1.00E-15,-0.398721235,0.003,0.192,3.24E-11,-1.318338854,,,,,,,,,,
Cdc42bpa,7.54E-07,-0.39892601,0.084,0.216,0.02432455,-1.318525991,,,,,,,,,,
Arhgap21,4.61E-07,-0.399147621,0.061,0.189,0.014871431,-1.318728544,,,,,,,,,,
Slc25a17,2.01E-11,-0.399167239,0.032,0.2,6.47E-07,-1.318746476,,,,,,,,,,
2210408F21Rik,8.10E-09,-0.400349704,0.045,0.189,0.000261202,-1.319827793,,,,,,,,,,
Zhx3,1.79E-10,-0.401468646,0.119,0.326,5.77E-06,-1.320851838,,,,,,,,,,
Ankrd28,9.09E-08,-0.403050114,0.181,0.372,0.002931216,-1.322300536,,,,,,,,,,
